Date,Price,Open,High,Low,Vol.,Change %
09-10-2014,814.75,799.5,818.85,799.5,2.23M,1.74%
10-10-2014,821.35,808.1,829.9,800.1,1.65M,0.81%
13-10-2014,803.9,813.6,827.65,799.5,1.38M,-2.12%
14-10-2014,802.9,797.5,815.6,797.5,1.35M,-0.12%
16-10-2014,796.65,801.9,813,792,1.85M,-0.78%
17-10-2014,798.35,795,807,791.95,1.61M,0.21%
20-10-2014,801.55,802,815,798.15,1.41M,0.40%
21-10-2014,797.35,800.25,807.45,792.1,1.31M,-0.52%
22-10-2014,806.25,806,815,797.35,1.36M,1.12%
23-10-2014,810.05,811,812.4,808.8,172.30K,0.47%
27-10-2014,805.2,805.4,812.35,790,2.19M,-0.60%
28-10-2014,838.65,805.25,847.95,805.25,3.46M,4.15%
29-10-2014,830.4,848,849.5,826,2.78M,-0.98%
30-10-2014,828.65,824.5,838.8,823.5,2.58M,-0.21%
31-10-2014,845.4,829.8,849.95,828.5,1.81M,2.02%
03-11-2014,853.25,848,858.9,836.5,1.13M,0.93%
05-11-2014,871.5,858.5,878.25,858,2.42M,2.14%
07-11-2014,894.3,852,896.5,836.1,3.68M,2.62%
10-11-2014,911.25,897,932.5,896.5,4.42M,1.90%
11-11-2014,917.3,911,924,910.1,3.18M,0.66%
12-11-2014,906.05,921.25,924.85,890.1,1.55M,-1.23%
13-11-2014,908.3,904.25,924.75,900.75,2.56M,0.25%
14-11-2014,886.75,917.8,917.8,880.15,2.90M,-2.37%
17-11-2014,883.85,885.05,889,870,2.51M,-0.33%
18-11-2014,866.9,882.9,896.9,865,2.22M,-1.92%
19-11-2014,850.1,866.5,873.7,842.3,3.82M,-1.94%
20-11-2014,851.05,853,860.85,842.45,3.41M,0.11%
21-11-2014,841,846.25,857,839,1.81M,-1.18%
24-11-2014,835.8,840,853.7,833.35,2.46M,-0.62%
25-11-2014,839.95,836,845,832.3,2.90M,0.50%
26-11-2014,839.6,840.9,845.2,834.6,1.55M,-0.04%
27-11-2014,841.95,840.1,852,840,3.36M,0.28%
28-11-2014,839.7,841.95,848.95,838.05,2.17M,-0.27%
01-12-2014,835.65,853.9,856.5,829,2.95M,-0.48%
02-12-2014,840.4,831,847.3,831,1.85M,0.57%
03-12-2014,842.6,840.05,846.9,837.05,1.36M,0.26%
04-12-2014,839.4,840,844.25,836,1.01M,-0.38%
05-12-2014,821.55,837.4,844.65,819.15,1.74M,-2.13%
08-12-2014,827.8,821,839.55,820.05,1.71M,0.76%
09-12-2014,839.45,851.6,854.45,832.85,3.49M,1.41%
10-12-2014,833.3,835.1,842.4,821,2.46M,-0.73%
11-12-2014,834.8,828.1,844,828.1,2.33M,0.18%
12-12-2014,843.35,837.35,852,834.5,2.55M,1.02%
15-12-2014,844.2,839,851.95,837,1.42M,0.10%
16-12-2014,830.15,840,850.5,825,2.03M,-1.66%
17-12-2014,811.35,830.25,836.15,798.35,2.79M,-2.26%
18-12-2014,812,818.5,821,806.15,2.21M,0.08%
19-12-2014,807.85,816.2,820,804.3,1.84M,-0.51%
22-12-2014,814.5,809,815.5,805.25,1.37M,0.82%
23-12-2014,813.3,813.5,822.35,807.15,1.48M,-0.15%
24-12-2014,803.5,812.05,816,800,3.94M,-1.20%
26-12-2014,811.15,804.5,812.25,803.55,687.53K,0.95%
29-12-2014,820.7,810,822,810,875.13K,1.18%
30-12-2014,820.4,822,828.8,816.6,1.08M,-0.04%
31-12-2014,826.55,819.35,829,815.8,1.28M,0.75%
01-01-2015,822.2,826.5,830,818.1,587.48K,-0.53%
02-01-2015,826.25,824,830.5,824,710.31K,0.49%
05-01-2015,826.75,826.1,830.7,824.45,792.29K,0.06%
06-01-2015,808.55,823,824.6,803.7,1.71M,-2.20%
07-01-2015,809.8,809.1,815.2,800,1.73M,0.15%
08-01-2015,818.8,815,821,814.4,943.54K,1.11%
09-01-2015,830.05,820,836,820,1.77M,1.37%
12-01-2015,835.3,832.45,837.25,830.1,1.19M,0.63%
13-01-2015,833.1,837.05,843.4,826.15,838.42K,-0.26%
14-01-2015,820.65,831,837.75,817,996.07K,-1.49%
15-01-2015,825.9,826,833.9,819.4,2.22M,0.64%
16-01-2015,849.75,828.9,854.4,826.2,2.01M,2.89%
19-01-2015,863,855,866.15,853.1,1.38M,1.56%
20-01-2015,872.3,865,874.5,854.5,2.05M,1.08%
21-01-2015,885.95,875,888,873,2.36M,1.56%
22-01-2015,920.05,885.3,927.35,885.3,4.80M,3.85%
23-01-2015,926.8,921.5,938.7,918,2.84M,0.73%
27-01-2015,914,939.9,939.95,901,2.26M,-1.38%
28-01-2015,909.75,915,933.1,892,1.94M,-0.46%
29-01-2015,919.8,900,933,891,2.67M,1.10%
30-01-2015,917.75,923.5,927.8,910.5,1.87M,-0.22%
02-02-2015,929.1,925,943.55,922,1.75M,1.24%
03-02-2015,941.25,936,947.65,919.05,2.28M,1.31%
04-02-2015,958.95,947.5,965.95,946,2.77M,1.88%
05-02-2015,959.55,960,965.9,951,1.85M,0.06%
06-02-2015,926.85,958.75,962.9,920.25,3.12M,-3.41%
09-02-2015,941.45,926.8,948.2,915.85,1.35M,1.58%
10-02-2015,919.55,942,942,911,1.52M,-2.33%
11-02-2015,925.85,924.8,937,920.2,1.05M,0.69%
12-02-2015,923.6,929.65,932.2,919,778.56K,-0.24%
13-02-2015,940.55,928,952,928,2.05M,1.84%
16-02-2015,914.75,918,930.9,907.3,2.87M,-2.74%
18-02-2015,917.8,919.9,927.5,911.75,1.31M,0.33%
19-02-2015,916.7,922.7,926.8,909.55,1.19M,-0.12%
20-02-2015,913.2,914.8,921.6,910,1.15M,-0.38%
23-02-2015,908.65,914,924,904.25,2.44M,-0.50%
24-02-2015,910.45,907,913.9,905,1.47M,0.20%
25-02-2015,890.75,913.5,914.65,886.4,1.41M,-2.16%
26-02-2015,865.7,890.1,894.25,860.2,2.61M,-2.81%
27-02-2015,878.9,870.15,883.9,868.55,2.16M,1.52%
28-02-2015,911,884.45,918.4,873.5,1.12M,3.65%
02-03-2015,925.2,912.1,932,909.4,2.02M,1.56%
03-03-2015,943.05,937.45,951.4,933.1,2.11M,1.93%
04-03-2015,"1,006.30",946.9,"1,035.95",937.8,7.57M,6.71%
05-03-2015,"1,038.75","1,018.00","1,045.95","1,005.50",3.79M,3.22%
09-03-2015,"1,041.00","1,024.35","1,049.90","1,008.00",3.15M,0.22%
10-03-2015,"1,024.65","1,046.00","1,055.50","1,017.75",2.09M,-1.57%
11-03-2015,"1,009.85","1,029.40","1,035.40","1,007.05",1.85M,-1.44%
12-03-2015,"1,036.15","1,012.65","1,039.80","1,010.00",1.99M,2.60%
13-03-2015,"1,011.60","1,044.70","1,044.70","1,006.55",1.50M,-2.37%
16-03-2015,"1,029.85","1,014.10","1,032.90","1,010.15",1.45M,1.80%
17-03-2015,"1,041.90","1,033.00","1,051.00","1,026.15",1.82M,1.17%
18-03-2015,"1,044.50","1,043.40","1,048.00","1,031.00",1.49M,0.25%
19-03-2015,"1,047.75","1,050.00","1,075.00","1,036.20",2.66M,0.31%
20-03-2015,"1,026.65","1,050.00","1,074.50","1,021.30",2.37M,-2.01%
23-03-2015,"1,024.25","1,036.90","1,045.95","1,013.40",1.97M,-0.23%
24-03-2015,"1,037.15","1,034.00","1,049.80","1,030.00",2.57M,1.26%
25-03-2015,"1,052.05","1,058.00","1,067.80","1,042.10",4.24M,1.44%
26-03-2015,"1,027.70","1,052.80","1,053.00","1,020.00",2.97M,-2.31%
27-03-2015,"1,011.20","1,036.90","1,041.55","1,002.10",2.00M,-1.61%
30-03-2015,"1,010.80","1,021.15","1,025.75","1,009.00",1.61M,-0.04%
31-03-2015,"1,023.90","1,015.00","1,033.25","1,010.35",1.94M,1.30%
01-04-2015,"1,081.15","1,023.90","1,094.00","1,018.95",4.10M,5.59%
06-04-2015,"1,169.30","1,102.70","1,181.00","1,090.00",4.81M,8.15%
07-04-2015,"1,152.05","1,180.00","1,200.80","1,135.75",3.98M,-1.48%
08-04-2015,"1,150.45","1,161.35","1,173.30","1,137.05",2.73M,-0.14%
09-04-2015,"1,113.45","1,159.90","1,162.30","1,106.00",3.14M,-3.22%
10-04-2015,"1,119.75","1,113.00","1,128.60","1,098.35",2.88M,0.57%
13-04-2015,"1,150.95","1,120.10","1,157.90","1,112.70",2.04M,2.79%
15-04-2015,"1,117.30","1,161.40","1,161.40","1,112.35",3.10M,-2.92%
16-04-2015,"1,087.95","1,122.20","1,127.25","1,082.50",2.73M,-2.63%
17-04-2015,"1,037.75","1,090.00","1,105.20","1,028.75",3.75M,-4.61%
20-04-2015,"1,043.80","1,048.00","1,066.90","1,037.80",2.94M,0.58%
21-04-2015,952.2,951,974.25,930,265.71M,-8.78%
22-04-2015,967.8,963,978.9,948,10.91M,1.64%
23-04-2015,942,980,980.8,936,9.45M,-2.67%
24-04-2015,947.4,946,956,938.25,10.42M,0.57%
27-04-2015,926.4,951.5,957.3,921.85,7.64M,-2.22%
28-04-2015,924.85,922,934.2,912.25,5.55M,-0.17%
29-04-2015,940.5,934.2,947,929,7.23M,1.69%
30-04-2015,938.85,926,943.9,921,16.37M,-0.18%
04-05-2015,947.75,949,957.25,942.05,7.78M,0.95%
05-05-2015,958.45,954.9,960,950.05,4.33M,1.13%
06-05-2015,937.15,957.55,957.7,925,5.15M,-2.22%
07-05-2015,927.9,933,936,920.05,3.69M,-0.99%
08-05-2015,940.25,933.35,946.25,920.1,5.00M,1.33%
11-05-2015,964.4,950.5,968.45,948.8,5.24M,2.57%
12-05-2015,949.65,962.25,965.4,943,4.20M,-1.53%
13-05-2015,954.05,952.9,962.95,942.65,2.58M,0.46%
14-05-2015,944.4,952.8,953.2,939,2.70M,-1.01%
15-05-2015,946.35,927.4,952,926.25,2.56M,0.21%
18-05-2015,956.95,947.4,960,943.3,2.14M,1.12%
19-05-2015,957.05,956.95,978.45,947.85,2.05M,0.01%
20-05-2015,965.35,961.4,969.35,956,2.16M,0.87%
21-05-2015,981.25,966.1,986.7,962.1,4.65M,1.65%
22-05-2015,"1,003.75",978,"1,008.90",976.75,4.81M,2.29%
25-05-2015,"1,002.15","1,003.00","1,010.00",993.5,2.00M,-0.16%
26-05-2015,994.85,999.95,"1,000.00",982,2.57M,-0.73%
27-05-2015,975.55,996.1,"1,004.00",971.1,2.74M,-1.94%
28-05-2015,954.8,973.1,978.75,946.55,7.78M,-2.13%
29-05-2015,966.1,964.45,979,960,7.07M,1.18%
01-06-2015,877.65,915.55,917.8,869.1,14.27M,-9.16%
02-06-2015,860.75,887.2,888.4,856.85,7.19M,-1.93%
03-06-2015,842.4,861.6,863,840.5,6.50M,-2.13%
04-06-2015,831.55,835,842.5,818.6,6.63M,-1.29%
05-06-2015,847.9,831.55,860.6,830,4.70M,1.97%
08-06-2015,829.55,850,854,825.55,2.68M,-2.16%
09-06-2015,810.65,824,826.45,808.5,3.71M,-2.28%
10-06-2015,823.1,811.2,830.9,811.2,4.21M,1.54%
11-06-2015,819.55,828,840,816,4.11M,-0.43%
12-06-2015,813.55,824.75,824.75,807.25,2.40M,-0.73%
15-06-2015,837.7,816.4,847.9,810.15,3.95M,2.97%
16-06-2015,840.1,841.8,843,832.5,2.22M,0.29%
17-06-2015,843.9,846.7,848.95,836.55,3.71M,0.45%
18-06-2015,856.05,847,862,845,3.92M,1.44%
19-06-2015,845.95,861,862.8,843.25,2.33M,-1.18%
22-06-2015,856.9,850.9,862,850.15,2.43M,1.29%
23-06-2015,857.7,859.95,866.7,856,1.90M,0.09%
24-06-2015,871.1,859,880.75,859,5.17M,1.56%
25-06-2015,866.1,870.75,878.4,860.85,6.72M,-0.57%
26-06-2015,867.2,869.7,873.4,861,2.61M,0.13%
29-06-2015,849.55,852,854,836.3,1.79M,-2.04%
30-06-2015,874.6,854.65,877.3,850.6,4.01M,2.95%
